Layer,Sub_Layer,Dependency,Version_Constraint,Purpose,Install_Command,Disk_Space_MB,Monthly_Downloads
Backend,Web_Framework,FastAPI,>=0.104.1,REST API server,pip install fastapi,5,2500000
Backend,Web_Framework,Uvicorn,>=0.24.0,ASGI server,pip install uvicorn,3,1800000
Backend,AWS_SDK,Boto3,>=1.29.7,AWS API access,pip install boto3,45,8000000
Backend,AWS_SDK,Botocore,>=1.32.7,AWS core library,pip install botocore,40,8000000
Backend,Data_Processing,Pandas,>=2.1.1,DataFrame operations,pip install pandas,75,25000000
Backend,Data_Processing,NumPy,>=1.24.0,Numerical computing,pip install numpy,50,20000000
Backend,Graph_DB,Neo4j,>=5.14.0,Neo4j Python driver,pip install neo4j,8,450000
Backend,Relational_DB,SQLAlchemy,>=2.0.23,Python SQL toolkit,pip install sqlalchemy,12,8000000
Backend,Relational_DB,Psycopg2,>=2.9.9,PostgreSQL adapter,pip install psycopg2-binary,5,1200000
Backend,LLM_Framework,LangChain,>=0.1.0,LLM orchestration,pip install langchain,25,350000
Backend,LLM_API,Anthropic,>=0.6.1,Claude API client,pip install anthropic,3,150000
Backend,HTTP,Httpx,>=0.25.1,Async HTTP client,pip install httpx,5,500000
Backend,Data_Validation,Pydantic,>=2.4.2,Data validation,pip install pydantic,8,15000000
Backend,Config,Python_dotenv,>=1.0.0,Environment variables,pip install python-dotenv,1,500000
Backend,PDF_Processing,PyPDF2,>=3.0.1,PDF manipulation,pip install PyPDF2,5,300000
Backend,Vector_DB,Pinecone,>=2.2.4,Vector search,pip install pinecone-client,8,100000
Backend,Testing,Pytest,>=7.4.0,Unit testing,pip install pytest,15,12000000
Backend,Testing,Pytest_asyncio,>=0.21.0,Async testing,pip install pytest-asyncio,2,500000
Backend,Logging,Python_logging,Built-in,Structured logging,N/A - Built-in,0,N/A
Frontend,Framework,React,>=18.2.0,UI library,npm install react,50,25000000
Frontend,Framework,React_DOM,>=18.2.0,React DOM rendering,npm install react-dom,35,25000000
Frontend,Routing,React_Router,>=6.17.0,Client-side routing,npm install react-router-dom,8,1500000
Frontend,HTTP,Axios,>=1.6.0,HTTP client,npm install axios,8,20000000
Frontend,Visualization,D3,>=7.8.5,Data visualization,npm install d3,18,2000000
Frontend,Visualization,Recharts,>=2.10.0,React charting,npm install recharts,12,400000
Frontend,Visualization,React_Flow,>=10.3.0,Node editor,npm install react-flow-renderer,15,150000
Frontend,Build,Vite,>=5.0.0,Module bundler,npm install vite,25,3000000
Frontend,CSS,Tailwind,>=3.3.5,Utility CSS,npm install tailwindcss,12,8000000
Frontend,HTML,React_JSX,Built-in,JSX support,N/A - Built-in,0,N/A
Infrastructure,Container,Docker,>=20.10,Containerization,N/A - System install,500,Weekly
Infrastructure,Compose,Docker_Compose,>=2.0,Orchestration,N/A - System install,100,Weekly
Infrastructure,Database,PostgreSQL,>=13,Relational DB,docker pull,200,Weekly
Infrastructure,Graph_DB,Neo4j,5.18-community,Graph database,docker pull,600,Weekly
Infrastructure,Cache,Redis,>=7.0,Caching layer,docker pull,150,Weekly
Infrastructure,Web_Server,Nginx,latest,Web server,docker pull,100,Weekly
